iter	Passed	Remaining
0	484	193367
1	922	183512
2	1357	179580
3	1704	168778
4	2022	159805
5	2343	153877
6	2761	155013
7	3136	153688
8	3475	150974
9	3908	152438
10	4279	151353
11	4712	152359
12	5162	153682
13	5514	152048
14	5892	151246
15	6198	148762
16	6614	149027
17	7005	148676
18	7313	146645
19	7729	146860
20	8115	146471
21	8510	146222
22	8885	145646
23	9300	145702
24	9698	145484
25	10068	144829
26	10428	144073
27	10822	143782
28	11174	142953
29	11567	142660
30	11925	141951
31	12313	141603
32	12669	140899
33	13045	140434
34	13466	140438
35	13862	140163
36	14288	140183
37	14663	139689
38	15047	139284
39	15485	139365
40	15846	138755
41	16262	138614
42	16630	138070
43	16998	137533
44	17363	136976
45	17709	136284
46	18052	135583
47	18404	134968
48	18783	134548
49	19165	134155
50	19537	133697
51	19893	133134
52	20269	132706
53	20642	132262
54	21046	132021
55	21430	131645
56	21821	131312
57	22258	131250
58	22678	131071
59	23104	130925
60	23434	130234
61	23847	130006
62	24228	129604
63	24630	129307
64	25026	128982
65	25408	128580
66	25819	128326
67	26229	128063
68	26640	127797
69	27035	127452
70	27421	127067
71	27818	126728
72	28131	126012
73	28512	125607
74	28956	125476
75	29382	125264
76	29734	124731
77	30104	124277
78	30462	123780
79	30852	123410
80	31196	122861
81	31584	122485
82	31974	122118
83	32375	121791
84	32758	121398
85	33163	121083
86	33597	120872
87	33955	120386
88	34279	119785
89	34703	119532
90	35088	119146
91	35415	118563
92	35802	118186
93	36138	117641
94	36520	117250
95	36865	116741
96	37195	116187
97	37540	115685
98	37902	115237
99	38301	114905
100	38692	114546
101	39105	114248
102	39495	113885
103	39872	113482
104	40230	113027
105	40586	112570
106	40967	112181
107	41357	111818
108	41745	111448
109	42142	111101
110	42547	110777
111	42941	110421
112	43320	110026
113	43689	109608
114	44108	109313
115	44543	109055
116	44965	108762
117	45385	108462
118	45803	108157
119	46139	107659
120	46512	107247
121	46819	106687
122	47205	106308
123	47591	105929
124	47902	105384
125	48282	104994
126	48614	104501
127	48959	104039
128	49402	103783
129	49793	103417
130	50158	102997
131	50540	102612
132	50928	102239
133	51297	101828
134	51667	101421
135	52076	101090
136	52499	100784
137	52820	100282
138	53218	99928
139	53590	99524
140	53965	99128
141	54362	98770
142	54765	98424
143	55154	98052
144	55488	97583
145	55819	97110
146	56179	96689
147	56519	96236
148	56878	95815
149	57245	95409
150	57599	94981
151	57971	94584
152	58306	94129
153	58701	93770
154	59102	93419
155	59552	93146
156	59951	92790
157	60345	92427
158	60716	92029
159	61066	91600
160	61392	91135
161	61762	90737
162	62119	90321
163	62509	89952
164	62890	89571
165	63308	89242
166	63696	88869
167	64098	88516
168	64433	88072
169	64815	87691
170	65244	87374
171	65604	86964
172	65991	86590
173	66403	86248
174	66794	85878
175	67221	85555
176	67556	85112
177	67924	84714
178	68318	84348
179	68652	83909
180	69041	83536
181	69426	83158
182	69814	82785
183	70209	82420
184	70589	82036
185	71021	81712
186	71448	81383
187	71818	80986
188	72213	80619
189	72570	80209
190	72946	79821
191	73344	79456
192	73700	79046
193	74062	78643
194	74420	78236
195	74818	77872
196	75226	77517
197	75618	77146
198	76005	76769
199	76390	76390
200	76795	76031
201	77146	75618
202	77526	75235
203	77852	74799
204	78267	74449
205	78659	74077
206	78997	73654
207	79399	73291
208	79799	72926
209	80136	72504
210	80495	72102
211	80884	71728
212	81219	71305
213	81642	70960
214	81999	70558
215	82374	70170
216	82720	69759
217	83082	69362
218	83450	68970
219	83866	68617
220	84265	68251
221	84658	67879
222	85062	67515
223	85431	67125
224	85780	66718
225	86157	66333
226	86514	65934
227	86855	65522
228	87219	65128
229	87617	64760
230	87994	64376
231	88403	64016
232	88734	63599
233	89142	63237
234	89578	62895
235	89963	62516
236	90364	62149
237	90717	61749
238	91116	61379
239	91532	61021
240	91898	60629
241	92287	60253
242	92692	59887
243	93015	59468
244	93357	59062
245	93701	58658
246	94104	58291
247	94505	57922
248	94892	57545
249	95242	57145
250	95597	56748
251	95942	56347
252	96293	55948
253	96684	55574
254	97098	55213
255	97441	54810
256	97780	54407
